K? n?ng m?m,??i s? tuy?n tính,Gi?i tích 1,Tin h?c ??i c??ng,V?t lý ?i?n t?,Gi?i tích 2,L?p trình nâng cao,X?p lo?i h?c t?p
D,D,D,C,D,C,B,Khá
B,C,A,D,C,B,A,Gi?i
C,C,C,B,C,D,C,Khá
C,C,D,A,D,D,B,Khá
B,B,B,D,B,A,C,Khá
C,D,B,A,A,C,A,Khá
B,A,A,A,B,A,A,Xu?t s?c
D,B,D,D,C,B,B,Trung bình
B,C,B,A,C,D,A,Gi?i
B,A,C,A,B,B,A,Gi?i
C,C,C,C,B,C,A,Khá
D,C,A,A,A,B,A,Gi?i
B,B,B,A,B,B,B,Khá
A,A,B,A,C,B,A,Khá
C,D,B,C,B,C,B,Khá
A,A,A,B,A,A,B,Gi?i
D,D,D,C,B,C,D,Trung bình
C,C,A,D,C,C,C,Khá
B,B,A,A,B,B,A,Gi?i
B,C,C,C,D,D,C,Khá
C,D,C,C,D,B,B,Khá
D,A,D,A,D,D,D,Gi?i
B,B,A,A,B,A,A,Gi?i
D,C,D,C,B,B,D,Trung bình
B,B,B,A,C,A,B,Gi?i
D,B,A,A,A,A,A,Xu?t s?c
C,C,B,B,A,C,C,Khá
C,B,B,C,C,B,B,Khá
B,C,B,A,A,A,A,Gi?i
D,D,D,C,C,A,D,Khá
C,D,B,A,A,D,A,Khá
D,B,B,A,B,C,B,Khá
D,C,C,A,B,C,A,Khá
C,A,A,D,B,B,C,Khá
C,B,B,A,C,A,B,Khá
C,B,C,B,A,C,C,Khá
C,D,B,B,D,D,C,Trung bình
B,C,B,C,A,D,C,Khá
D,D,D,C,D,D,B,Trung bình
C,C,A,A,B,B,A,Khá
D,B,D,C,D,D,D,Khá
B,C,D,B,B,D,A,Khá
D,A,D,D,C,C,B,Khá
D,D,D,C,D,D,C,Trung bình
D,D,C,B,B,D,D,Khá
C,D,D,C,C,D,C,Trung bình
C,D,D,A,D,C,D,Khá
B,B,B,B,A,B,B,Khá
D,C,B,A,A,A,A,Gi?i
D,C,B,A,B,D,A,Khá
B,C,C,A,A,B,C,Khá
D,C,C,C,C,C,C,Gi?i
D,D,D,B,A,C,D,Trung bình
C,D,D,B,C,D,B,Khá
C,C,D,B,A,D,D,Khá
D,A,B,B,A,A,C,Khá
C,D,C,B,C,C,C,Khá
C,C,C,C,A,C,C,Khá
C,B,B,A,B,A,A,Gi?i
B,A,B,A,A,A,A,Xu?t s?c
B,B,B,A,A,C,A,Gi?i
C,B,C,A,A,A,C,Khá
D,C,B,C,A,C,B,Trung bình
C,C,B,A,A,B,B,Khá
C,B,D,B,C,C,B,Khá
C,C,B,B,D,B,B,Khá
B,A,A,A,A,A,A,Xu?t s?c
C,B,A,A,C,B,A,Gi?i
B,A,B,A,A,C,A,Gi?i
B,B,C,A,B,D,A,Gi?i
C,C,B,B,C,A,B,Khá
B,A,B,B,C,A,B,Khá
B,B,C,B,D,B,B,Khá
B,D,C,A,C,C,A,Khá
B,D,C,D,C,B,C,Khá
C,A,C,B,A,A,B,Khá
A,A,B,A,B,A,A,Xu?t s?c
C,B,A,D,B,C,C,Khá
C,C,B,D,A,C,D,Trung bình
C,B,B,D,B,C,D,Trung bình
B,C,C,B,B,D,A,Khá
C,D,B,B,D,C,C,Khá
D,C,B,B,D,D,C,Khá
B,A,C,B,A,D,A,Khá
C,B,C,A,C,D,C,Khá
D,B,C,D,D,B,D,Khá
A,C,C,A,B,D,C,Khá
D,C,C,D,A,D,C,Khá
C,B,C,C,C,C,D,Khá
B,B,D,C,B,B,D,Trung bình
B,B,B,A,A,A,A,Khá
B,A,B,A,C,B,B,Gi?i
A,A,B,A,A,B,A,Xu?t s?c
B,B,C,C,B,A,D,Khá
B,C,D,C,C,C,D,Khá
B,A,C,A,D,D,C,Khá
B,D,B,D,B,D,B,Khá
B,D,C,A,A,B,B,Khá
A,A,A,A,B,B,A,Gi?i
B,D,C,C,B,C,A,Khá
A,C,B,A,D,C,D,Khá
C,A,A,A,C,A,C,Gi?i
B,B,C,A,C,C,A,Gi?i
C,D,B,C,C,B,A,Khá
B,C,C,C,B,C,C,Khá
C,C,C,B,A,A,D,Xu?t s?c
B,D,C,A,D,D,D,Khá
B,C,D,A,B,D,A,Gi?i
A,C,A,A,B,A,D,Khá
C,D,C,C,C,B,C,Khá
B,C,D,B,D,B,C,Khá
A,B,C,A,A,A,B,Gi?i
C,C,C,A,D,B,C,Khá
C,B,C,C,D,D,D,Trung bình
B,C,D,B,A,C,B,Gi?i
A,A,A,A,D,B,C,Gi?i
B,C,D,A,A,C,C,Khá
B,B,C,A,D,B,B,Khá
B,C,D,B,B,B,D,Khá
B,A,B,A,B,A,C,Gi?i
A,C,A,A,A,B,A,Gi?i
B,C,B,B,A,A,C,Khá
B,D,D,A,D,B,C,Khá
B,A,A,B,A,A,A,Khá
B,B,B,B,B,C,D,Khá
A,A,A,A,A,A,B,Xu?t s?c
B,A,A,A,B,B,A,Gi?i
A,A,A,A,A,A,B,Xu?t s?c
B,C,C,A,A,C,A,Gi?i
B,B,B,B,A,C,A,Gi?i
B,D,C,B,C,D,D,Khá
A,C,B,A,B,B,B,Khá
A,D,C,A,D,C,D,Khá
B,B,B,A,B,C,A,Gi?i
B,A,A,A,A,A,B,Gi?i
B,C,B,A,D,C,D,Khá
B,A,A,A,B,A,A,Gi?i
B,C,B,A,B,B,A,Gi?i
B,B,A,A,A,B,B,Gi?i
C,C,C,B,B,D,B,Khá
B,D,D,C,B,C,B,Khá
B,C,D,C,B,B,C,Khá
A,C,B,C,C,C,D,Khá
C,B,C,A,C,C,C,Khá
A,A,B,B,B,C,B,Gi?i
B,A,C,C,B,A,D,Khá
B,D,D,D,C,C,C,Khá
A,D,D,C,B,D,D,Khá
A,A,A,B,A,A,A,Gi?i
B,D,D,D,B,C,C,Khá
B,C,C,C,B,A,A,Khá
B,C,D,C,D,C,A,Gi?i
B,B,B,A,A,B,A,Gi?i
B,D,D,D,A,D,C,Khá
B,C,A,A,A,A,D,Gi?i
A,A,A,B,A,A,C,Gi?i
B,D,C,C,C,D,D,Khá
B,B,C,A,A,A,A,Xu?t s?c
D,D,C,B,D,C,D,Khá
B,B,A,A,B,A,D,Khá
B,B,A,A,A,B,B,Gi?i
B,C,C,D,D,C,C,Khá
B,B,C,B,D,C,A,Khá
A,A,A,A,A,B,C,Xu?t s?c
A,B,C,C,B,A,A,Khá
