K? n?ng m?m,??i s? tuy?n tính,Gi?i tích 1,Tin h?c ??i c??ng,V?t lý ?i?n t?,Gi?i tích 2,L?p trình nâng cao,Môn t? ch?n 1,Thi?t k? Web,Toán r?i r?c,C?u trúc d? li?u và gi?i thu?t,Ki?n trúc và t? ch?c máy tính,L?p trình h??ng ??i t??ng,Xác su?t th?ng kê,H? ?i?u hành,Công ngh? Java,C? s? d? li?u,Phân tích thi?t k? thu?t toán,X?p lo?i h?c t?p
D,D,D,C,D,C,B,D,C,C,D,B,C,B,D,B,C,B,Khá
B,C,A,D,C,B,A,C,D,C,B,C,B,A,A,C,A,A,Gi?i
C,C,C,B,C,D,C,D,D,D,C,C,C,C,C,B,C,B,Khá
C,C,D,A,D,D,B,C,C,C,D,D,D,D,D,C,B,B,Khá
B,B,B,D,B,A,C,C,C,B,C,C,D,D,D,C,C,C,Khá
C,D,B,A,A,C,A,B,C,C,B,B,A,B,B,A,B,B,Khá
B,A,A,A,B,A,A,C,C,A,B,A,A,A,A,A,B,A,Xu?t s?c
D,B,D,D,C,B,B,B,D,B,D,D,B,D,D,C,C,C,Trung bình
B,C,B,A,C,D,A,A,A,C,A,B,A,A,A,A,A,A,Gi?i
B,A,C,A,B,B,A,C,A,B,C,C,A,C,B,B,A,B,Gi?i
C,C,C,C,B,C,A,C,C,C,C,D,A,C,C,B,A,B,Khá
D,C,A,A,A,B,A,B,A,B,A,A,A,A,B,A,B,B,Gi?i
B,B,B,A,B,B,B,A,C,C,B,B,B,B,C,A,B,B,Khá
A,A,B,A,C,B,A,C,C,B,D,A,B,C,C,A,C,B,Khá
C,D,B,C,B,C,B,C,D,C,C,D,C,C,D,C,D,C,Khá
A,A,A,B,A,A,B,B,B,C,B,A,A,A,C,C,B,B,Gi?i
D,D,D,C,B,C,D,D,D,B,C,D,C,D,B,C,D,D,Trung bình
C,C,A,D,C,C,C,C,B,C,C,D,B,D,C,C,D,B,Khá
B,B,A,A,B,B,A,C,B,B,B,A,A,A,D,A,B,B,Gi?i
B,C,C,C,D,D,C,D,C,B,D,B,B,B,D,C,C,C,Khá
C,D,C,C,D,B,B,C,C,C,B,D,C,C,C,C,C,C,Khá
D,A,D,A,D,D,D,A,B,C,B,B,A,B,C,A,A,B,Gi?i
