1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,Decision
D,D,D,C,D,C,B,D,C,C,D,B,C,B,D,B,C,B,C,C,B,C,B,C,A,A,A,A,A,B,B,K
B,C,A,D,C,B,A,C,D,C,B,C,B,A,A,C,A,A,B,A,C,A,A,B,A,A,A,B,A,A,B,G
C,C,C,B,C,D,C,D,D,D,C,C,C,C,C,B,C,B,C,C,D,C,B,C,B,C,D,D,B,B,C,K
C,C,D,A,D,D,B,C,C,C,D,D,D,D,D,C,B,B,C,A,D,D,C,B,A,A,C,C,B,B,B,K
B,B,B,D,B,A,C,C,C,B,C,C,D,D,D,C,C,C,B,B,D,C,C,C,B,D,C,C,B,B,B,K
C,D,B,A,A,C,A,B,C,C,B,B,A,B,B,A,B,B,A,A,B,C,B,C,A,B,A,D,B,A,B,K
B,A,A,A,B,A,A,C,C,A,B,A,A,A,A,A,B,A,A,A,A,B,A,C,A,A,A,A,A,A,A,Xs
D,B,D,D,C,B,B,B,D,B,D,D,B,D,D,C,C,C,C,C,B,C,D,C,B,C,D,D,B,A,D,Tb
B,C,B,A,C,D,A,A,A,C,A,B,A,A,A,A,A,A,A,A,B,C,A,C,A,A,B,B,A,A,B,G
B,A,C,A,B,B,A,C,A,B,C,C,A,C,B,B,A,B,A,B,D,C,C,B,B,A,B,A,A,A,A,G
C,C,C,C,B,C,A,C,C,C,C,D,A,C,C,B,A,B,B,A,C,D,B,A,A,D,A,A,A,A,A,K
D,C,A,A,A,B,A,B,A,B,A,A,A,A,B,A,B,B,A,A,B,C,B,C,A,A,A,A,A,A,C,G
B,B,B,A,B,B,B,A,C,C,B,B,B,B,C,A,B,B,C,D,C,C,C,C,B,B,A,A,A,B,B,K
A,A,B,A,C,B,A,C,C,B,D,A,B,C,C,A,C,B,B,A,B,B,B,A,A,C,B,A,A,B,A,K
C,D,B,C,B,C,B,C,D,C,C,D,C,C,D,C,D,C,B,B,B,C,B,C,B,D,A,C,C,A,B,K
A,A,A,B,A,A,B,B,B,C,B,A,A,A,C,C,B,B,B,B,C,B,B,B,D,D,B,D,B,B,A,G
D,D,D,C,B,C,D,D,D,B,C,D,C,D,B,C,D,D,B,A,D,C,C,B,B,C,A,B,A,B,C,Tb
C,C,A,D,C,C,C,C,B,C,C,D,B,D,C,C,D,B,B,C,C,C,C,B,A,D,A,C,A,B,B,K
B,B,A,A,B,B,A,C,B,B,B,A,A,A,D,A,B,B,A,B,C,C,B,B,A,C,A,A,A,B,A,G
B,C,C,C,D,D,C,D,C,B,D,B,B,B,D,C,C,C,C,B,C,C,C,B,A,C,B,C,C,B,B,K
C,D,C,C,D,B,B,C,C,C,B,D,C,C,C,C,C,C,B,C,C,C,B,C,A,C,D,C,B,A,B,K
D,A,D,A,D,D,D,A,B,C,B,B,A,B,C,A,A,B,A,A,C,C,B,A,A,A,A,A,B,B,A,G
B,B,A,A,B,A,A,B,C,B,B,B,B,B,B,A,A,B,B,C,C,C,B,B,B,B,A,D,B,B,B,G
D,C,D,C,B,B,D,C,B,D,B,B,D,D,D,B,D,C,C,C,D,D,B,B,A,C,C,D,B,B,C,Tb
B,B,B,A,C,A,B,C,A,B,C,B,A,A,B,B,A,A,B,A,C,C,C,C,A,A,A,B,B,C,B,G
D,B,A,A,A,A,A,A,B,B,A,B,A,A,A,A,A,A,A,A,B,C,B,A,A,A,A,A,A,B,A,Xs
C,C,B,B,A,C,C,A,C,C,B,C,A,A,C,A,A,B,B,A,D,B,B,B,A,B,A,D,B,B,B,K
C,B,B,C,C,B,B,C,C,D,C,D,C,B,D,C,B,C,C,B,D,C,C,B,A,C,C,D,B,B,C,K
B,C,B,A,A,A,A,A,C,B,A,B,A,B,B,A,B,A,A,A,C,C,A,C,A,C,A,A,A,B,B,G
D,D,D,C,C,A,D,B,C,D,D,C,C,B,D,C,C,B,C,C,C,C,C,A,A,B,C,C,B,B,A,K
C,D,B,A,A,D,A,A,B,B,B,C,B,C,B,B,A,A,B,D,D,C,D,A,A,D,B,B,B,B,A,K
D,B,B,A,B,C,B,C,C,C,B,B,B,B,C,B,B,B,C,C,C,C,C,B,A,C,C,A,B,A,C,K
D,C,C,A,B,C,A,C,D,C,B,C,A,B,C,A,C,B,A,A,D,D,C,B,A,D,A,D,B,A,C,K
C,A,A,D,B,B,C,B,D,C,A,C,B,C,C,A,B,B,B,D,C,C,D,C,A,D,B,B,B,B,B,K
C,B,B,A,C,A,B,C,C,C,B,A,B,B,D,B,B,B,C,B,D,B,B,C,B,C,A,C,A,A,C,K
C,B,C,B,A,C,C,C,C,D,C,D,C,C,D,C,C,B,B,A,D,D,B,B,A,C,A,B,A,A,C,K
C,D,B,B,D,D,C,C,C,B,D,B,C,C,D,B,D,C,B,C,C,D,D,B,B,C,D,D,B,B,C,Tb
B,C,B,C,A,D,C,C,C,C,D,B,C,C,C,B,B,C,B,D,B,C,D,C,A,D,B,B,A,B,B,K
D,D,D,C,D,D,B,D,C,D,C,D,C,D,D,C,C,D,C,C,D,D,D,B,B,D,B,D,B,B,B,Tb
C,C,A,A,B,B,A,C,D,D,C,C,A,D,C,A,C,B,B,C,C,C,D,B,A,B,A,D,A,A,C,K
D,B,D,C,D,D,D,C,C,C,C,B,C,D,D,A,B,B,C,B,B,C,C,B,A,D,B,D,B,B,D,K
B,C,D,B,B,D,A,C,A,C,C,D,A,C,B,A,C,B,B,A,C,C,B,B,A,B,A,A,A,A,B,K
D,A,D,D,C,C,B,C,A,C,B,D,A,D,D,B,C,C,C,A,D,C,D,C,B,D,B,D,B,B,C,K
D,D,D,C,D,D,C,C,C,C,C,D,D,D,D,C,D,C,D,C,D,D,C,A,A,D,C,D,B,B,A,Tb
D,D,C,B,B,D,D,C,C,C,C,C,B,C,C,A,B,B,B,A,C,C,B,C,A,C,A,B,B,B,B,K
C,D,D,C,C,D,C,B,D,D,D,D,B,C,D,C,C,D,B,D,B,C,C,C,B,B,B,C,B,B,C,Tb
C,D,D,A,D,C,D,C,C,D,C,C,D,C,C,C,D,C,C,C,D,D,D,A,A,C,A,B,B,B,A,K
B,B,B,B,A,B,B,C,B,C,B,B,A,B,B,A,A,A,D,A,B,C,B,C,A,C,B,B,A,B,B,K
D,C,B,A,A,A,A,B,A,C,A,C,A,A,B,A,A,A,B,A,B,B,A,C,A,A,A,A,A,A,C,G
D,C,B,A,B,D,A,B,B,C,D,A,A,A,B,A,C,D,C,C,B,B,B,C,A,C,B,B,A,B,B,K
B,C,C,A,A,B,C,D,D,C,C,B,C,A,C,A,B,C,C,C,C,C,C,C,B,D,A,B,B,A,B,K
D,C,C,C,C,C,C,A,A,B,B,B,A,A,A,A,B,A,A,A,C,B,A,C,A,A,A,A,A,A,C,G
D,D,D,B,A,C,D,B,C,C,C,C,D,D,D,C,D,D,D,D,C,C,B,C,B,D,B,D,D,A,C,Tb
C,D,D,B,C,D,B,C,B,C,C,C,C,A,D,B,C,D,C,A,B,B,C,B,B,A,B,C,B,A,C,K
C,C,D,B,A,D,D,C,B,D,C,C,C,A,D,A,C,D,D,A,B,C,B,D,A,B,A,D,B,A,C,K
D,A,B,B,A,A,C,C,D,C,D,C,B,A,D,C,C,D,D,C,C,C,B,C,B,D,A,B,B,A,B,K
C,D,C,B,C,C,C,B,C,B,C,D,C,C,D,C,B,B,C,D,B,C,D,B,B,B,C,A,C,B,C,K
C,C,C,C,A,C,C,B,D,B,A,C,B,C,D,B,C,B,C,C,C,B,D,B,B,C,C,C,D,A,C,K
C,B,B,A,B,A,A,A,B,A,B,B,A,A,A,A,B,A,A,A,B,A,B,A,A,A,A,B,A,A,B,G
B,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,B,B,B,B,B,A,A,A,A,A,B,Xs
B,B,B,A,A,C,A,B,A,C,A,A,A,A,A,A,B,B,A,A,B,B,B,B,A,B,A,A,A,A,B,G
C,B,C,A,A,A,C,C,B,C,B,B,B,A,B,C,B,B,D,C,C,C,C,C,A,C,A,C,C,B,B,K
D,C,B,C,A,C,B,C,C,D,D,C,D,C,B,C,C,D,D,D,C,C,B,C,B,D,C,C,D,A,C,Tb
C,C,B,A,A,B,B,A,C,C,C,C,B,C,B,B,D,C,C,D,C,B,D,B,B,C,B,D,C,A,B,K
