mssv,HK 1,HK 1 dat,HK 1 hoc lai,HK 2,HK 2 dat,HK 2 hoc lai,HK 3,HK 3 dat,HK 3 hoc lai,HK 4,HK 4 dat,HK 4 hoc lai,HK 5,HK 5 dat,HK 5 hoc lai,HK 6,HK 6 dat,HK 6 hoc lai,HK 7,HK 7 dat,HK 7 hoc lai,HK 8,HK 8 dat,HK 8 hoc lai,xep_loai_hoc_tap
181211577,5.6,13,0,6.0,9,3,6.4,16,3,7.0,17,0,6.7,18,0,8.5,21,0,7.4,18,0,8.5,12,0,Khá
181202279,7.2,13,0,8.0,12,0,6.5,19,0,8.5,17,0,7.8,18,0,9.0,21,0,8.6,18,0,8.5,12,0,Gioi
181200545,6.8,13,0,6.0,12,0,6.0,19,0,7.0,15,2,6.0,18,0,6.4,21,0,7.4,18,0,7.6,12,0,Khá
181210367,6.1,10,3,6.4,6,6,5.6,19,0,6.7,17,0,6.7,18,0,7.8,21,0,8.2,18,0,8.2,12,0,Khá
181213379,7.3,13,0,7.6,12,0,6.5,19,0,6.2,14,3,6.1,18,0,6.7,18,3,7.5,18,0,8.2,12,0,Khá
181212011,7.6,13,0,8.4,12,0,7.2,19,0,7.6,17,0,7.5,18,0,7.7,21,0,7.8,18,0,8.6,12,0,Khá
181202577,8.7,13,0,8.8,12,0,8.1,19,0,8.9,17,0,8.5,18,0,9.3,21,0,9.1,18,0,9.3,12,0,Xuat sac
181203621,5.3,13,0,6.5,9,3,5.8,14,5,5.6,14,3,6.5,18,0,6.4,21,0,7.9,18,0,7.5,12,0,Trung binh
181203460,7.5,13,0,6.7,12,0,8.2,19,0,9.3,17,0,8.2,18,0,8.5,21,0,9.1,18,0,9.3,12,0,Gioi
181202227,7.5,13,0,7.7,12,0,7.4,19,0,7.7,17,0,7.1,15,3,8.6,21,0,8.6,18,0,8.7,12,0,Gioi
181213164,5.8,13,0,7.6,12,0,6.6,19,0,7.3,17,0,7.6,18,0,8.4,21,0,8.1,18,0,8.6,12,0,Khá
181211927,7.6,13,0,8.4,12,0,8.3,19,0,8.2,17,0,7.9,18,0,9.0,21,0,8.6,18,0,8.3,12,0,Gioi
181202654,7.6,13,0,7.4,12,0,7.1,19,0,6.8,15,2,5.9,15,3,8.0,18,3,7.9,18,0,9.1,12,0,Khá
181200376,8.9,13,0,7.6,12,0,7.4,19,0,7.3,17,0,8.4,18,0,8.4,21,0,8.5,18,0,8.3,2,10,Khá
181200916,6.0,13,0,6.6,9,3,5.4,19,0,5.2,15,2,6.7,10,8,7.2,18,3,8.0,18,0,7.6,12,0,Khá
181212423,9.1,13,0,9.3,12,0,8.0,19,0,7.5,17,0,7.2,18,0,6.5,21,0,8.4,18,0,8.7,12,0,Gioi
181200610,5.1,13,0,6.0,12,0,5.7,16,3,5.4,14,3,6.8,18,0,7.6,18,3,7.8,18,0,7.9,12,0,Trung binh
881891005,6.7,13,0,5.7,12,0,6.5,19,0,6.1,17,0,6.5,18,0,7.7,21,0,7.6,18,0,8.0,12,0,Khá
181213890,8.9,13,0,8.4,12,0,8.1,19,0,7.0,17,0,7.3,18,0,8.7,21,0,8.1,18,0,8.0,12,0,Gioi
181203531,5.8,10,3,6.3,12,0,6.8,13,6,5.6,15,2,6.8,15,3,7.3,21,0,7.6,18,0,7.4,12,0,Khá
181203140,5.8,13,0,6.6,12,0,6.3,19,0,6.0,14,3,6.2,18,0,7.3,21,0,7.8,18,0,6.6,2,10,Khá
181211071,6.6,10,3,5.0,12,0,7.9,19,0,7.9,17,0,8.3,18,0,8.7,21,0,8.2,18,0,8.9,12,0,Gioi
181201168,8.3,11,2,7.8,12,0,7.3,19,0,8.2,17,0,7.0,18,0,7.4,21,0,8.6,18,0,7.6,12,0,Gioi
181200401,5.9,11,2,6.3,9,3,6.6,13,6,5.9,14,3,5.8,15,3,6.7,21,0,7.4,18,0,7.7,12,0,Trung binh
181202999,8.5,13,0,7.8,12,0,7.7,19,0,8.6,17,0,7.0,18,0,8.0,21,0,8.3,18,0,9.3,12,0,Gioi
181212110,7.7,13,0,8.5,12,0,8.5,19,0,8.9,17,0,8.6,18,0,9.2,21,0,9.1,18,0,9.1,12,0,Xuat sac
181200830,7.0,13,0,7.3,12,0,7.4,19,0,8.3,17,0,7.4,18,0,7.7,21,0,7.2,18,0,8.4,12,0,Khá
181201828,6.4,13,0,6.3,12,0,5.7,19,0,6.6,17,0,6.4,18,0,6.6,21,0,7.5,18,0,7.9,12,0,Khá
181213373,7.8,13,0,8.6,12,0,7.9,19,0,8.3,17,0,7.5,18,0,8.6,21,0,8.0,18,0,9.4,12,0,Gioi
181210257,5.0,13,0,6.2,12,0,5.8,19,0,6.5,17,0,6.9,18,0,7.8,21,0,8.9,18,0,9.2,12,0,Khá
171510196,7.3,13,0,6.7,12,0,7.5,19,0,7.7,17,0,6.4,12,6,7.7,18,3,8.8,18,0,9.4,12,0,Khá
181200834,7.3,13,0,7.1,12,0,7.0,19,0,7.1,17,0,6.6,18,0,7.3,21,0,8.1,18,0,7.9,12,0,Khá
181202020,7.0,13,0,7.1,12,0,6.6,19,0,6.8,17,0,6.9,15,3,7.3,21,0,8.0,18,0,9.5,12,0,Khá
181202183,7.4,13,0,8.0,12,0,6.8,19,0,7.6,17,0,6.0,18,0,7.7,21,0,8.7,18,0,8.7,12,0,Khá
